date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
5/22/2016,31-40-42-51-06-18,31,40,42,51,6,18,6,18,31,40,42,51
5/27/2016,11-50-56-53-12-09,11,50,56,53,12,9,9,11,12,50,53,56
5/29/2016,06-44-36-54-32-29,6,44,36,54,32,29,6,29,32,36,44,54
6/3/2016,13-02-25-06-03-49,13,2,25,6,3,49,2,3,6,13,25,49
6/5/2016,22-05-07-25-53-32,22,5,7,25,53,32,5,7,22,25,32,53
6/10/2016,39-19-54-06-22-12,39,19,54,6,22,12,6,12,19,22,39,54
6/12/2016,50-03-49-13-58-34,50,3,49,13,58,34,3,13,34,49,50,58
6/17/2016,16-58-33-35-02-50,16,58,33,35,2,50,2,16,33,35,50,58
6/19/2016,45-46-07-03-49-58,45,46,7,3,49,58,3,7,45,46,49,58
6/24/2016,51-49-25-40-31-45,51,49,25,40,31,45,25,31,40,45,49,51
6/26/2016,11-53-02-29-01-09,11,53,2,29,1,9,1,2,9,11,29,53
7/1/2016,36-47-04-03-20-28,36,47,4,3,20,28,3,4,20,28,36,47
7/3/2016,54-23-32-04-14-38,54,23,32,4,14,38,4,14,23,32,38,54
7/8/2016,11-27-51-02-16-41,11,27,51,2,16,41,2,11,16,27,41,51
7/10/2016,44-39-43-10-07-23,44,39,43,10,7,23,7,10,23,39,43,44
7/15/2016,06-21-57-31-53-02,6,21,57,31,53,2,2,6,21,31,53,57
7/17/2016,39-05-11-26-16-28,39,5,11,26,16,28,5,11,16,26,28,39
7/22/2016,09-47-04-20-52-05,9,47,4,20,52,5,4,5,9,20,47,52
7/24/2016,10-30-22-34-50-28,10,30,22,34,50,28,10,22,28,30,34,50
7/29/2016,20-55-14-22-18-30,20,55,14,22,18,30,14,18,20,22,30,55
7/31/2016,21-27-55-47-46-19,21,27,55,47,46,19,19,21,27,46,47,55
8/5/2016,02-09-06-30-52-08,2,9,6,30,52,8,2,6,8,9,30,52
8/7/2016,55-36-33-30-53-32,55,36,33,30,53,32,30,32,33,36,53,55
8/12/2016,50-19-25-15-51-14,50,19,25,15,51,14,14,15,19,25,50,51
8/14/2016,05-54-48-17-01-39,5,54,48,17,1,39,1,5,17,39,48,54
8/19/2016,07-38-40-31-53-30,7,38,40,31,53,30,7,30,31,38,40,53
8/21/2016,24-10-42-30-25-13,24,10,42,30,25,13,10,13,24,25,30,42
8/26/2016,38-37-57-22-30-53,38,37,57,22,30,53,22,30,37,38,53,57
8/28/2016,20-12-02-03-15-22,20,12,2,3,15,22,2,3,12,15,20,22
9/2/2016,48-34-36-16-27-35,48,34,36,16,27,35,16,27,34,35,36,48
9/4/2016,13-47-26-28-01-48,13,47,26,28,1,48,1,13,26,28,47,48
