date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/14/2012,20-32-18-42-27-47,20,32,18,42,27,47,18,20,27,32,42,47
1/16/2012,45-52-51-46-53-33,45,52,51,46,53,33,33,45,46,51,52,53
1/18/2012,18-37-54-03-24-53,18,37,54,3,24,53,3,18,24,37,53,54
1/21/2012,13-25-52-37-41-51,13,25,52,37,41,51,13,25,37,41,51,52
1/23/2012,15-52-33-31-40-06,15,52,33,31,40,6,6,15,31,33,40,52
1/25/2012,50-29-26-40-32-18,50,29,26,40,32,18,18,26,29,32,40,50
1/28/2012,19-07-09-36-20-29,19,7,9,36,20,29,7,9,19,20,29,36
1/30/2012,12-29-22-39-23-34,12,29,22,39,23,34,12,22,23,29,34,39
2/1/2012,12-15-10-46-01-18,12,15,10,46,1,18,1,10,12,15,18,46
2/4/2012,48-04-07-16-09-01,48,4,7,16,9,1,1,4,7,9,16,48
2/6/2012,20-37-35-27-50-42,20,37,35,27,50,42,20,27,35,37,42,50
2/8/2012,26-48-21-40-09-13,26,48,21,40,9,13,9,13,21,26,40,48
2/11/2012,46-02-33-17-19-09,46,2,33,17,19,9,2,9,17,19,33,46
2/13/2012,11-31-53-14-45-06,11,31,53,14,45,6,6,11,14,31,45,53
2/15/2012,10-20-11-16-28-14,10,20,11,16,28,14,10,11,14,16,20,28
2/18/2012,47-40-55-16-52-49,47,40,55,16,52,49,16,40,47,49,52,55
2/20/2012,29-02-01-33-03-28,29,2,1,33,3,28,1,2,3,28,29,33
2/22/2012,05-42-13-45-31-19,5,42,13,45,31,19,5,13,19,31,42,45
2/25/2012,15-38-06-25-20-24,15,38,6,25,20,24,6,15,20,24,25,38
2/27/2012,38-40-37-47-31-20,38,40,37,47,31,20,20,31,37,38,40,47
2/29/2012,36-15-12-19-17-45,36,15,12,19,17,45,12,15,17,19,36,45
3/3/2012,21-44-20-39-33-23,21,44,20,39,33,23,20,21,23,33,39,44
3/5/2012,42-45-33-41-16-21,42,45,33,41,16,21,16,21,33,41,42,45
3/7/2012,53-22-36-39-31-52,53,22,36,39,31,52,22,31,36,39,52,53
3/10/2012,45-32-09-37-05-19,45,32,9,37,5,19,5,9,19,32,37,45
3/12/2012,17-41-37-46-34-48,17,41,37,46,34,48,17,34,37,41,46,48
3/14/2012,52-43-50-54-23-09,52,43,50,54,23,9,9,23,43,50,52,54
3/17/2012,38-07-50-34-48-03,38,7,50,34,48,3,3,7,34,38,48,50
3/19/2012,21-32-41-10-13-05,21,32,41,10,13,5,5,10,13,21,32,41
3/21/2012,07-10-13-35-40-46,7,10,13,35,40,46,7,10,13,35,40,46
3/24/2012,27-55-13-21-43-28,27,55,13,21,43,28,13,21,27,28,43,55
3/26/2012,09-30-36-34-42-02,9,30,36,34,42,2,2,9,30,34,36,42
3/28/2012,28-51-24-31-22-04,28,51,24,31,22,4,4,22,24,28,31,51
3/31/2012,26-15-36-45-33-10,26,15,36,45,33,10,10,15,26,33,36,45
4/2/2012,15-53-27-42-40-14,15,53,27,42,40,14,14,15,27,40,42,53
4/4/2012,34-29-46-31-06-41,34,29,46,31,6,41,6,29,31,34,41,46
4/9/2012,32-19-41-26-40-08,32,19,41,26,40,8,8,19,26,32,40,41
4/11/2012,45-04-17-39-06-29,45,4,17,39,6,29,4,6,17,29,39,45
4/14/2012,34-17-30-29-28-06,34,17,30,29,28,6,6,17,28,29,30,34
4/16/2012,25-28-37-02-06-22,25,28,37,2,6,22,2,6,22,25,28,37
4/18/2012,51-23-04-12-24-08,51,23,4,12,24,8,4,8,12,23,24,51
4/21/2012,41-50-38-05-26-51,41,50,38,5,26,51,5,26,38,41,50,51
