temp,humidity,pressure,slot,partofday,target
85.8,67.9,29.8,1.00,1,3
87.1,64.7,29.8,1.00,1,9
85.4,68.9,29.8,1.00,1,4
84.5,65.4,29.8,1.00,1,5
83.8,59.8,29.8,1.00,1,2
84.3,62.5,29.8,1.00,1,0
78.1,89.6,29.8,1.00,1,5
80.6,83.6,29.8,1.00,1,9
83.4,75.1,29.7,1.00,1,2
82,76.6,29.7,1.00,1,4
83.8,72.1,29.7,1.00,1,8
83.5,73.5,29.7,1.00,1,5
84,71,29.7,1.00,1,0
82.3,76.4,29.6,1.00,1,8
83.3,80.3,29.6,1.00,1,1
85.7,64.8,29.8,1.00,1,8
84.8,65.4,29.8,1.00,1,0
84.7,68,29.8,1.00,1,7
86.6,69.6,29.8,1.00,1,2
87.2,67.5,29.8,1.00,1,6
86.6,64.3,29.7,1.00,1,8
87.3,63.9,29.7,1.00,1,0
86.1,70.2,29.7,1.00,1,5
87.2,68.4,29.7,1.00,1,7
88,66.3,29.7,1.00,1,3
86.9,71.1,29.7,1.00,1,4
88.3,66.8,29.7,1.00,1,1
87.4,69.3,29.7,1.00,1,1
87.5,64,29.7,1.00,1,1
87.6,61,29.7,1.00,1,1
87,63,29.7,1.00,1,3
87.5,61.3,29.7,1.00,1,2
88.2,60.8,29.7,1.00,1,0
87.8,63.2,29.7,1.00,1,0
88.8,63.2,29.7,1.00,1,2
88.7,64.5,29.7,1.00,1,9
87.3,65.7,29.7,1.00,1,7
88,62.5,29.7,1.00,1,5
88,63.3,29.7,1.00,1,1
89,61.6,29.7,1.00,1,9
88.4,67.4,29.7,1.00,1,6
88.3,71.7,29.7,1.00,1,6
84,82.2,29.7,1.00,1,0
83.3,81.9,29.7,1.00,1,9
82.5,83.8,29.7,1.00,1,4
83,84.4,29.8,1.00,1,8
82.5,85.2,29.8,1.00,1,1
81.6,85.5,29.7,1.00,1,2
79,76.3,29.7,1.00,1,7
84.1,78.8,29.7,1.00,1,3
83.5,83.7,29.7,1.00,1,2
86.5,73.5,29.8,1.00,1,2
85.4,74.6,29.7,1.00,1,0
85.6,77.1,29.7,1.00,1,3
86.1,74.1,29.7,1.00,1,7
81.8,86.4,29.7,1.00,1,9
84.2,80.5,29.7,1.00,1,5
86.2,74.1,29.7,1.00,1,9
83.7,78.8,29.7,1.00,1,7
81.3,88.1,29.7,1.00,1,1
84.5,80.8,29.7,1.00,1,2
85.9,75.9,29.7,1.00,1,2
86,75.4,29.7,1.00,1,8
86.5,73.3,29.7,1.00,1,2
82.2,72,29.7,1.00,1,9
81.9,74.3,29.7,1.00,1,2
84.5,81.1,29.7,1.00,1,3
87.2,72.9,29.7,1.00,1,0
88,68.4,29.7,1.00,1,2
87.5,69.9,29.7,1.00,1,3
85.8,79.7,29.7,1.00,1,3
86.9,76.6,29.7,1.00,1,7
85.2,76.6,29.7,1.00,1,2
85.3,78.6,29.8,1.00,1,0
86.5,73.8,29.7,1.00,1,1
88.5,66.8,29.7,1.00,1,6
87,69.8,29.7,1.00,1,0
85,77.7,29.7,1.00,1,6
85.5,76.5,29.7,1.00,1,3
81.9,69.7,29.7,1.00,1,6
85.5,72.1,28.6,1.00,1,8
79.3,75,28.5,1.00,1,4
85,74,29.7,1.00,1,2
85.5,76.7,29.7,1.00,1,7
83.4,80.8,29.7,1.00,1,4
82.3,83.3,29.7,1.00,1,8
81.6,87.7,29.6,1.00,1,7
84.3,77,29.6,1.00,1,3
84,79.2,29.6,1.00,1,9
83.5,79.3,29.7,1.00,1,1
84.9,74.9,29.7,1.00,1,8
86.3,72.5,29.7,1.00,1,7
84.5,81,29.7,1.00,1,4
83.9,78,29.7,1.00,1,2
82.5,80.8,29.7,1.00,1,4
82.2,88.6,29.7,1.00,1,2
84.3,81.3,29.6,1.00,1,5
